Winery,Year,Wine ID,Wine,Rating,num_review,price,Country,Region
Philip Togni,1999,88387,Cabernet Sauvignon 1999,4.3,78,316.76387739929004,United States,Napa Valley
Domaine des Escaravailles,2018,1084005,Les Sablières Côtes du Rhône 2018,3.7,258,9.319664492078285,France,Côtes-du-Rhône
Château Haut-Bailly,1966,13632,Château Haut-Bailly (Cru Classé de Graves) 1966,4.1,25,253.411101919432,France,Pessac-Léognan
Yves Cuilleron,2018,4673226,Saint-Joseph Digue Blanc (Lieu-Dit) 2018,4.3,42,28.796716127208185,France,Saint-Joseph
Yves Cuilleron,2013,1717148,Côte-Rôtie Terres Sombres 2013,4.1,153,52.14823502308973,France,Côte-Rôtie
Château Coufran,1996,67864,Haut-Médoc 1996,3.7,62,44.346942835900606,France,Haut-Médoc
Moroki,2020,4673057,Sauvignon Blanc 2020,3.9,178,9.110233829334954,New Zealand,Marlborough
Querciabella,2015,6935,Toscana Batar 2015,4.2,377,76.0233305758296,Italy,Toscana
Schloss Gobelsburg,2016,20134,Zweigelt Domaene Gobelsburg 2016,3.6,79,8.37722650973329,Austria,Niederösterreich
Montevetrano,2016,4964719,Core Campania Bianco 2016,3.7,103,14.834671944319368,Italy,Campania
Tasca d'Almerita,2012,1202931,Rosso del Conte 2012,4.1,752,31.205168748756506,Italy,Contea di Sclafani
Lungarotti,2017,1289529,Torre di Giano Vigna Il Pino Torgiano Bianco 2017,3.9,80,8.246332345518708,Italy,Torgiano
Cacchiano,2013,1150832,Riserva Chianti Classico 2013,4.1,105,26.17883284291653,Italy,Chianti Classico
Vicobarone,2019,1719782,Gutturnio Frizzante 2019,3.3,28,7.853649852874959,Italy,Gutturnio
Ferragù,2016,1171438,Valpolicella Superiore 2016,4.4,297,34.55605935264982,Italy,Valpolicella
Maculan,2006,16759,Fratta 2006,4.3,115,73.30073196016629,Italy,Breganze
Ricossa,2017,3957747,Barbera Appassimento 2017,3.9,425,12.565839764599936,Italy,Piemonte
Morgante,2004,1161541,Don Antonio Nero d'Avola (Riserva) 2004,4.0,73,47.121899117249754,Italy,Sicilia
Bisson,2016,1908790,Abissi Portofino 2016,4.1,253,141.36569735174928,Italy,Liguria
Masi,2017,21947,Brolo di Campofiorin Oro 2017,3.9,338,15.183723048891588,Italy,Rosso Veronese
